embedding_id,stream_id,condition,embedding_name,dimension,stride,sample_points,path
aes128_ctr_xor_deterministic_plaintext_r000__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r000__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r000__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r000__sliding_window_8d.npy
aes128_ctr_xor_deterministic_plaintext_r001__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r001__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r001__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r001__sliding_window_8d.npy
aes128_ctr_xor_deterministic_plaintext_r002__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r002__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r002__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r002__sliding_window_8d.npy
aes128_ctr_xor_deterministic_plaintext_r003__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r003,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r003__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r003__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r003,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r003__sliding_window_8d.npy
aes128_ctr_xor_deterministic_plaintext_r004__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r004,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r004__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r004__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r004,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r004__sliding_window_8d.npy
aes128_ctr_xor_deterministic_plaintext_r005__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r005,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r005__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r005__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r005,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r005__sliding_window_8d.npy
aes128_ctr_xor_deterministic_plaintext_r006__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r006,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r006__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r006__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r006,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r006__sliding_window_8d.npy
aes128_ctr_xor_deterministic_plaintext_r007__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r007,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_xor_deterministic_plaintext_r007__byte_pair_2d.npy
aes128_ctr_xor_deterministic_plaintext_r007__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r007,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_xor_deterministic_plaintext_r007__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r000__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r000,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r000__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r000__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r000,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r000__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r001__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r001,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r001__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r001__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r001,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r001__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r002__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r002,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r002__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r002__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r002,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r002__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r003__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r003,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r003__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r003__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r003,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r003__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r004__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r004,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r004__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r004__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r004,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r004__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r005__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r005,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r005__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r005__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r005,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r005__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r006__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r006,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r006__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r006__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r006,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r006__sliding_window_8d.npy
aes128_ctr_keystream_zero_plaintext_r007__byte_pair_2d,aes128_ctr_keystream_zero_plaintext_r007,aes128_ctr_keystream_zero_plaintext,byte_pair_2d,2,2,4096,data/interim/aes128_ctr_keystream_zero_plaintext_r007__byte_pair_2d.npy
aes128_ctr_keystream_zero_plaintext_r007__sliding_window_8d,aes128_ctr_keystream_zero_plaintext_r007,aes128_ctr_keystream_zero_plaintext,sliding_window_8d,8,1,2048,data/interim/aes128_ctr_keystream_zero_plaintext_r007__sliding_window_8d.npy
