stream_id,condition,baseline_condition,backend,embedding_name,homology_dim,euclidean_feature_distance,z_scored_euclidean_feature_distance
aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,7.601398490860662,1.8848572282268916
aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,42.77997453461536,2.520833360801306
aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,16.75001342883383,1.2928786944498012
aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.197237591472115,1.428348536959611
aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,7.954954646662644,2.9803565769247182
aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,25.102295697210693,2.5445601176071073
aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,37.250029556021474,1.3357565424846336
aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,0.2792080294620875,1.5704813277173355
aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,3.7123107617210156,0.937595360017542
aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,19.445446367587834,1.4836557350213084
aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,70.25005436746433,2.50189060162609
aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,5.760202300162583,4.34209841371138
aes128_ctr_xor_deterministic_plaintext_r003,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,27.40038892951405,3.20802770866881
aes128_ctr_xor_deterministic_plaintext_r003,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,23.688088333405783,1.9297123384796988
aes128_ctr_xor_deterministic_plaintext_r003,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,43.25003299420623,2.4643315425413372
aes128_ctr_xor_deterministic_plaintext_r003,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.197237591472115,1.428348536959611
aes128_ctr_xor_deterministic_plaintext_r004,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,34.82501003614685,3.1543201372473613
aes128_ctr_xor_deterministic_plaintext_r004,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,63.9931813830747,3.6595974747556976
aes128_ctr_xor_deterministic_plaintext_r004,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,88.2500641897268,4.016294593497374
aes128_ctr_xor_deterministic_plaintext_r004,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,4.934628244503813,5.471477988342422
aes128_ctr_xor_deterministic_plaintext_r005,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,3.7123116351769676,1.7816601530876206
aes128_ctr_xor_deterministic_plaintext_r005,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,62.57898385518924,4.416487218729351
aes128_ctr_xor_deterministic_plaintext_r005,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,2.250003418493008,0.6421196927723238
aes128_ctr_xor_deterministic_plaintext_r005,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.6055693798083532,1.3106063760316786
aes128_ctr_xor_deterministic_plaintext_r006,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,24.925514505812508,1.9022423694665396
aes128_ctr_xor_deterministic_plaintext_r006,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,14.495696904715263,3.299864223412984
aes128_ctr_xor_deterministic_plaintext_r006,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,50.25003799590258,2.2322786099952623
aes128_ctr_xor_deterministic_plaintext_r006,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.074307197868983,2.1817045064954974
aes128_ctr_xor_deterministic_plaintext_r007,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,16.086679715868478,1.4484771472664273
aes128_ctr_xor_deterministic_plaintext_r007,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,42.072859564532614,2.4342546947266586
aes128_ctr_xor_deterministic_plaintext_r007,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,27.250022907808567,0.8495830585118935
aes128_ctr_xor_deterministic_plaintext_r007,aes128_ctr_xor_deterministic_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.885800497377121,1.3739941779107616
aes128_ctr_keystream_zero_plaintext_r000,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,7.6013983726722465,1.2237329870928269
aes128_ctr_keystream_zero_plaintext_r000,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,10.253051803637563,1.109222718253641
aes128_ctr_keystream_zero_plaintext_r000,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,122.75011646432428,4.22262082434945
aes128_ctr_keystream_zero_plaintext_r000,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.139586421707305,1.1213884411982862
aes128_ctr_keystream_zero_plaintext_r001,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,2.2980972302890796,1.640462042567482
aes128_ctr_keystream_zero_plaintext_r001,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,6.717534144988992,1.4729280487244754
aes128_ctr_keystream_zero_plaintext_r001,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,53.2500407307993,1.8846435243664375
aes128_ctr_keystream_zero_plaintext_r001,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,1,7.101257651176219,4.850726430252168
aes128_ctr_keystream_zero_plaintext_r002,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,0,11.844039205619024,1.2709226730290262
aes128_ctr_keystream_zero_plaintext_r002,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,byte_pair_2d,1,1.7677829158189196,0.62068087171184
aes128_ctr_keystream_zero_plaintext_r002,aes128_ctr_keystream_zero_plaintext,sha256_seeded_baseline,ripser,sliding_window_8d,0,77.75006726265319,2.3918312929489067
