embedding_id,stream_id,condition,embedding_name,backend,homology_dim,interval_count,finite_count,lifetime_mean,lifetime_sd,lifetime_max,persistence_entropy
aes128_ctr_xor_deterministic_plaintext_r000__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,ripser,0,3971,3970,0.010587678091554885,0.004576220290376058,0.02772967703640461,8.189659334010063
aes128_ctr_xor_deterministic_plaintext_r000__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,ripser,1,1037,1037,0.005933722669731111,0.005813660939328963,0.03496955893933773,6.538200701563856
aes128_ctr_xor_deterministic_plaintext_r000__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,ripser,0,2048,771,0.305629169701293,0.038570194287855075,0.3499656617641449,6.639185345756501
aes128_ctr_xor_deterministic_plaintext_r000__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r000,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,ripser,1,6,0,0.0,0.0,0.0,0.0
aes128_ctr_xor_deterministic_plaintext_r001__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,ripser,0,3982,3981,0.010533705622159885,0.004535057350863734,0.035511314868927,8.193713282235043
aes128_ctr_xor_deterministic_plaintext_r001__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,ripser,1,989,989,0.006056872987507629,0.00594838123253493,0.035013286396861076,6.487482174062447
aes128_ctr_xor_deterministic_plaintext_r001__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,ripser,0,2048,825,0.3060460702036366,0.0378181404418752,0.3499656617641449,6.707222378711158
aes128_ctr_xor_deterministic_plaintext_r001__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r001,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,ripser,1,4,1,0.01250678300857544,0.0,0.01250678300857544,-0.0
aes128_ctr_xor_deterministic_plaintext_r002__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,ripser,0,3979,3978,0.010508172024037333,0.004559562561890694,0.028549451380968094,8.191550877886897
aes128_ctr_xor_deterministic_plaintext_r002__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,ripser,1,993,993,0.005889736128125006,0.005829507399345197,0.03152315504848957,6.483875603922167
aes128_ctr_xor_deterministic_plaintext_r002__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,ripser,0,2048,858,0.30574155881966186,0.035030108901593075,0.349987655878067,6.747683656285007
aes128_ctr_xor_deterministic_plaintext_r002__sliding_window_8d,aes128_ctr_xor_deterministic_plaintext_r002,aes128_ctr_xor_deterministic_plaintext,sliding_window_8d,ripser,1,9,4,0.012327395379543304,0.005885113173349575,0.01822224259376526,1.2874243076356477
aes128_ctr_xor_deterministic_plaintext_r003__byte_pair_2d,aes128_ctr_xor_deterministic_plaintext_r003,aes128_ctr_xor_deterministic_plaintext,byte_pair_2d,ripser,0,3957,3956,0.010487508205504691,0.00454217808740531,0.03350589796900749,8.18658979248857
